historical_war_run_id,state_code,cycle,chamber,scored_races,finance_complete_races,lag_context_races,mean_absolute_war,finance_coverage_rate
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2020,upper,13,13,13,3.731961240208393,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2022,lower,80,78,80,2.3368135700697,0.975
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2022,upper,18,18,18,2.2089489761473278,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2024,lower,89,86,88,2.2850341651966,0.9662921348314607
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2024,upper,10,10,10,2.0521883378758763,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,2017,lower,0,0,0,,
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,2019,lower,65,64,0,15.590453464274638,0.9846153846153847
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,2019,upper,20,19,0,16.237464316243994,0.95
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,2021,lower,0,0,0,,
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,2023,lower,38,37,0,21.102025867055826,0.9736842105263158
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,2023,upper,19,18,0,22.20791180967728,0.9473684210526315
