cycle,county_key,precinct_key,precinct_name_norm,precinct_split_base,donor_vintage,donor_vtd_id,donor_name,suggested_donor_vtd_id,suggested_donor_name,name_match_method,name_match_score,name_match_margin,physical_precinct_count,donor_vtd_count,vtd_inventory_relation,iterative_match_round,frozen_one_to_one,intervening_doj_candidates,intervening_geometry_candidates,intervening_submission_numbers,house_district_count,senate_district_count,is_split_precinct
1994,AUTAUGA,ABSENTEE,ABSENTEE,ABSENTEE,2000,,,,,administrative_non_geographic,0.0,0.0,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,AUTAUGA COUNTY V.S. SD2,AUTAUGA COUNTY V S SD2,AUTAUGA COUNTY V S SD2,2000,VTD2000-001-13,Autauga County Court House,VTD2000-001-22,Autauga County Vocational Center,named_place_geocode_to_containing_vtd,90.0,100.0,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,AUTAUGAVILLE TOWN HALL SD5,AUTAUGAVILLE TOWN HALL SD5,AUTAUGAVILLE TOWN HALL SD5,2000,VTD2000-001-14,Autaugaville Town Hall,VTD2000-001-14,Autaugaville Town Hall,fuzzy_name,95.0,45.0,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,BILLINGSLEY GOVERNMENTAL SD4,BILLINGSLEY GOVERNMENTAL SD4,BILLINGSLEY GOVERNMENTAL SD4,2000,VTD2000-001-3,Billingsley Governmental Center,VTD2000-001-3,Billingsley Governmental Center,district_constrained_nonexclusive_approximation,87.6923076923077,47.69230769230769,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,BOOTH POST OFFICE SD3,BOOTH POST OFFICE SD3,BOOTH POST OFFICE SD3,2000,VTD2000-001-9,Booth Post Office,VTD2000-001-9,Booth Post Office,fuzzy_name,95.0,53.13953488372093,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,CAMELLIA BAPTIST CHURCH SD2,CAMELLIA BAPTIST CHURCH SD2,CAMELLIA BAPTIST CHURCH SD2,2000,VTD2000-001-17,Camelia Baptist Church,VTD2000-001-17,Camelia Baptist Church,fuzzy_name,89.79591836734694,17.06864564007421,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,COURTHOUSE SD5,COURTHOUSE SD5,COURTHOUSE SD5,2000,VTD2000-001-13,Autauga County Court House,VTD2000-001-13,Autauga County Court House,adjacent_cycle_alias_graph,,100.0,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,E. MEMORIAL BAPTIST CHURCH SD 1,E MEMORIAL BAPTIST CHURCH SD,E MEMORIAL BAPTIST CHURCH SD,2000,VTD2000-001-2,East Memorial Baptist Church,VTD2000-001-2,East Memorial Baptist Church,fuzzy_name,89.28571428571429,13.285714285714292,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,HAYNES COMMUNITY CTR SD3,HAYNES COMMUNITY CENTER SD3,HAYNES COMMUNITY CENTER SD3,2000,VTD2000-001-4,Haynes Community Center,VTD2000-001-4,Haynes Community Center,fuzzy_name,95.0,13.367346938775512,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,INDEPENDENCE V.H. SD5,INDEPENDENCE V H SD5,INDEPENDENCE V H SD5,2000,VTD2000-001-8,Independence Voting House,VTD2000-001-8,Independence Voting House,district_constrained_nonexclusive_approximation,75.55555555555556,38.34625322997416,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,JONES COMMUNITY CTR SD3,JONES COMMUNITY CENTER SD3,JONES COMMUNITY CENTER SD3,2000,VTD2000-001-1,Jones Community Center,VTD2000-001-1,Jones Community Center,fuzzy_name,95.0,13.367346938775512,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,MARBURY COMMUNITY CTR SD4,MARBURY COMMUNITY CENTER SD4,MARBURY COMMUNITY CENTER SD4,2000,VTD2000-001-6,Marbury Community Center,VTD2000-001-6,Marbury Community Center,fuzzy_name,95.0,15.0,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,MULBERRY-STATESVILLE SD5,MULBERRY STATESVILLE SD5,MULBERRY STATESVILLE SD5,2000,VTD2000-001-11,Mulberry-Statesville,VTD2000-001-11,Mulberry-Statesville,fuzzy_name,95.0,52.77777777777778,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,NATIONAL GUARD ARMORY SD3-1,NATIONAL GUARD ARMORY SD3 1,NATIONAL GUARD ARMORY SD3,2000,VTD2000-001-16,National Guard Armory,VTD2000-001-16,National Guard Armory,fuzzy_name,95.0,53.13559322033898,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,NATIONAL GUARD ARMORY SD3-2,NATIONAL GUARD ARMORY SD3 2,NATIONAL GUARD ARMORY SD3,2000,VTD2000-001-16,National Guard Armory,VTD2000-001-16,National Guard Armory,fuzzy_name,95.0,53.13559322033898,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,NEWTON PARK SD1-1,NEWTON PARK SD1 1,NEWTON PARK SD1,2000,VTD2000-001-10,Newton Park Voting Center,VTD2000-001-10,Newton Park Voting Center,district_constrained_nonexclusive_approximation,74.64285714285714,27.27443609022556,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,NEWTON PARK SD1-2,NEWTON PARK SD1 2,NEWTON PARK SD1,2000,VTD2000-001-10,Newton Park Voting Center,VTD2000-001-10,Newton Park Voting Center,named_place_geocode_to_containing_vtd,95.0,99.99999999999991,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,OLD KINGSTON FIRE ST SD5,OLD KINGSTON FIRE SAINT SD5,OLD KINGSTON FIRE SAINT SD5,2000,VTD2000-001-18,Old Kingston Vote Site,VTD2000-001-18,Old Kingston Vote Site,district_constrained_nonexclusive_approximation,73.46938775510203,21.469387755102037,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,PINE LEVEL COMMUNITY CTR SD4,PINE LEVEL COMMUNITY CENTER SD4,PINE LEVEL COMMUNITY CENTER SD4,2000,VTD2000-001-7,Pine Level Fire Station,VTD2000-001-1,Jones Community Center,named_place_geocode_to_containing_vtd,95.0,99.99999991910968,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,PRATTMONT BAPTIST CHURCH SD2,PRATTMONT BAPTIST CHURCH SD2,PRATTMONT BAPTIST CHURCH SD2,2000,VTD2000-001-15,Prattmont Baptist Church,VTD2000-001-15,Prattmont Baptist Church,fuzzy_name,95.0,21.111111111111114,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,VOCATIONAL CENTER SD4,VOCATIONAL CENTER SD4,VOCATIONAL CENTER SD4,2000,VTD2000-001-22,Autauga County Vocational Center,VTD2000-001-22,Autauga County Vocational Center,district_constrained_nonexclusive_approximation,85.5,31.804347826086957,21,19,overflow,0,False,0,0,,1,1,False
1994,AUTAUGA,WHITE CITY FIRE STATION SD3,WHITE CITY FIRE STATION SD3,WHITE CITY FIRE STATION SD3,2000,VTD2000-001-5,White City Fire Station,VTD2000-001-5,White City Fire Station,fuzzy_name,95.0,29.85714285714286,21,19,overflow,0,False,0,0,,1,1,False
1994,BALDWIN,ABSENTEE,ABSENTEE,ABSENTEE,2000,,,,,administrative_non_geographic,0.0,0.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,4,2,True
1994,BALDWIN,BAPTIST CHURCH-LILLIAN,BAPTIST CHURCH LILLIAN,BAPTIST CHURCH LILLIAN,2000,VTD2000-003-20,Gateswood Hamilton Church,VTD2000-003-47,Daphne St. Paul Episcopal Church,iterative_adjacent_cycle_consensus,,100.00000000000009,51,49,overflow,1,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,BARNWELL COMMUNITY HALL,BARNWELL COMMUNITY HALL,BARNWELL COMMUNITY HALL,2000,VTD2000-003-35,Barnwell Church,VTD2000-003-35,Barnwell Church,fuzzy_name_district_constraint,85.5,99.99999990572498,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,BAY MINETTE CITY HALL 1,BAY MINETTE CITY HALL,BAY MINETTE CITY HALL,2000,VTD2000-003-15,Bay Minette City Hall-Civic Center,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name,90.0,23.33333333333333,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,3,2,True
1994,BALDWIN,BAY MINETTE CITY HALL 2,BAY MINETTE CITY HALL,BAY MINETTE CITY HALL,2000,VTD2000-003-15,Bay Minette City Hall-Civic Center,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name,90.0,23.33333333333333,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,3,2,True
1994,BALDWIN,BAY MINETTE CITY HALL 3,BAY MINETTE CITY HALL,BAY MINETTE CITY HALL,2000,VTD2000-003-15,Bay Minette City Hall-Civic Center,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name,90.0,23.33333333333333,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,BAY MINETTE MIDDLE SCHOOL,BAY MINETTE MIDDLE SCHOOL,BAY MINETTE MIDDLE SCHOOL,2000,VTD2000-003-5,Bay Minette Intermediate School,VTD2000-003-5,Bay Minette Intermediate School,district_constrained_nonexclusive_approximation,79.53488372093024,31.386735572782086,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,BELFOREST COMMUNITY CENTER,BELFOREST COMMUNITY CENTER,BELFOREST COMMUNITY CENTER,2000,VTD2000-003-23,Belforest Community Center,VTD2000-003-23,Belforest Community Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,BON SECOUR SCHOOL,BON SECOUR SCHOOL,BON SECOUR SCHOOL,2000,VTD2000-003-37,Ben Secour Swift School,VTD2000-003-7,Daphne Intermediate School,named_place_geocode_to_containing_vtd,90.0,99.99998529610173,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,CROSSROADS SCHOOL,CROSSROADS SCHOOL,CROSSROADS SCHOOL,2000,VTD2000-003-4,Crossroads Alternative School,VTD2000-003-7,Daphne Intermediate School,iterative_adjacent_cycle_consensus,,99.99999989968376,51,49,overflow,1,False,4,3,1999-2443|98-2385|99-2443,2,2,True
1994,BALDWIN,DAPHNE INTERMEDIATE SCHOOL,DAPHNE INTERMEDIATE SCHOOL,DAPHNE INTERMEDIATE SCHOOL,2000,VTD2000-003-7,Daphne Intermediate School,VTD2000-003-7,Daphne Intermediate School,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,DAPHNE RECREATION CENTER 1,DAPHNE RECREATION CENTER,DAPHNE RECREATION CENTER,2000,VTD2000-003-49,Daphne Nicholson Center,VTD2000-003-49,Daphne Nicholson Center,district_constrained_nonexclusive_approximation,72.34042553191489,14.562647754137116,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,DAPHNE RECREATION CENTER 2,DAPHNE RECREATION CENTER,DAPHNE RECREATION CENTER,2000,VTD2000-003-49,Daphne Nicholson Center,VTD2000-003-49,Daphne Nicholson Center,district_constrained_nonexclusive_approximation,72.34042553191489,14.562647754137116,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,ELBERTA-FIRE HOUSE,ELBERTA FIRE HOUSE,ELBERTA FIRE HOUSE,2000,VTD2000-003-40,Fort Morgan Vol Fire Dept #2,VTD2000-003-6,Bromley Crossroads Vol. Fire SS,fuzzy_name_district_constraint,85.5,46.40612989624864,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,ELLISVILLE COMMUNITY CENTER,ELLISVILLE COMMUNITY CENTER,ELLISVILLE COMMUNITY CENTER,2000,VTD2000-003-8,Loxley Ellisville Comm Center,VTD2000-003-8,Loxley Ellisville Comm Center,fuzzy_name,95.0,9.5,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,ELSANOR COMMUNITY CENTER,ELSANOR COMMUNITY CENTER,ELSANOR COMMUNITY CENTER,2000,VTD2000-003-26,Elsanor Community Center,VTD2000-003-26,Elsanor Community Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FAIRHOPE CITY HALL 1,FAIRHOPE CITY HALL,FAIRHOPE CITY HALL,2000,VTD2000-003-43,Fairhope J Larry Newton School,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name_district_constraint,85.5,99.99999988373963,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FAIRHOPE CITY HALL 2,FAIRHOPE CITY HALL,FAIRHOPE CITY HALL,2000,VTD2000-003-43,Fairhope J Larry Newton School,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name_district_constraint,85.5,99.99999988373963,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FAIRHOPE CITY HALL 3,FAIRHOPE CITY HALL,FAIRHOPE CITY HALL,2000,VTD2000-003-43,Fairhope J Larry Newton School,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name_district_constraint,85.5,99.99999988373963,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FAIRHOPE CITY HALL 4,FAIRHOPE CITY HALL 4,FAIRHOPE CITY HALL,2000,VTD2000-003-43,Fairhope J Larry Newton School,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name_district_constraint,85.5,99.99999988373963,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FERGUSON STORE-LITTLE RIVER,FERGUSON STORE LITTLE RIVER,FERGUSON STORE LITTLE RIVER,2000,VTD2000-003-1,Little River Ferguson Store,VTD2000-003-1,Little River Ferguson Store,fuzzy_name,95.0,29.85714285714286,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FIRE STATION #3 DAPHNE,FIRE STATION 3 DAPHNE,FIRE STATION 3 DAPHNE,2000,VTD2000-003-47,Daphne St. Paul Episcopal Church,VTD2000-003-47,Daphne St. Paul Episcopal Church,fuzzy_name_district_constraint,85.5,21.29017691204137,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,FOLEY CIVIC CENTER 1,FOLEY CIVIC CENTER,FOLEY CIVIC CENTER,2000,VTD2000-003-38,Foley Civic Center,VTD2000-003-38,Foley Civic Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,FOLEY CIVIC CENTER 2,FOLEY CIVIC CENTER,FOLEY CIVIC CENTER,2000,VTD2000-003-38,Foley Civic Center,VTD2000-003-38,Foley Civic Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,GATESWOOD SCHOOL,GATESWOOD SCHOOL,GATESWOOD SCHOOL,2000,VTD2000-003-20,Gateswood Hamilton Church,VTD2000-003-7,Daphne Intermediate School,named_place_geocode_to_containing_vtd,90.0,100.00000000000009,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,GULF SHORES ACTIVITY CENTER 1,GULF SHORES ACTIVITY CENTER,GULF SHORES ACTIVITY CENTER,2000,VTD2000-003-39,Gulf Shores Adult Activity Center,VTD2000-003-39,Gulf Shores Adult Activity Center,fuzzy_name,95.0,9.5,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,GULF SHORES ACTIVITY CENTER 2,GULF SHORES ACTIVITY CENTER,GULF SHORES ACTIVITY CENTER,2000,VTD2000-003-39,Gulf Shores Adult Activity Center,VTD2000-003-39,Gulf Shores Adult Activity Center,fuzzy_name,95.0,9.5,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,LILLIAN- COMMUNITY HALL,LILLIAN COMMUNITY HALL,LILLIAN COMMUNITY HALL,2000,VTD2000-003-28,Lillian Community Hall,VTD2000-003-28,Lillian Community Hall,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,LITTLE RIVER RESTAURANT,LITTLE RIVER RESTAURANT,LITTLE RIVER RESTAURANT,2000,VTD2000-003-10,Little River Restaurant,VTD2000-003-10,Little River Restaurant,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,LOTTIE METHODIST CHURCH,LOTTIE METHODIST CHURCH,LOTTIE METHODIST CHURCH,2000,,,VTD2000-003-35,Barnwell Church,unmatched_name,85.5,31.33333333333333,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,LOXLEY COMMUNITY HALL,LOXLEY COMMUNITY HALL,LOXLEY COMMUNITY HALL,2000,VTD2000-003-8,Loxley Ellisville Comm Center,VTD2000-003-8,Loxley Ellisville Comm Center,fuzzy_name_district_constraint,85.5,31.96972920229896,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,MAGNOLIA SPRINGS CHURCH CENTER,MAGNOLIA SPRINGS CHURCH CENTER,MAGNOLIA SPRINGS CHURCH CENTER,2000,VTD2000-003-32,Elberta Civic Center,VTD2000-003-38,Foley Civic Center,fuzzy_name_district_constraint,85.5,13.71231461529706,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,MIFLIN COMMUNITY CENTER,MIFLIN COMMUNITY CENTER,MIFLIN COMMUNITY CENTER,2000,VTD2000-003-33,Miflin Community Center,VTD2000-003-33,Miflin Community Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,ORANGE BEACH MUNICIPAL COMPLEX,ORANGE BEACH MUNICIPAL COMPLEX,ORANGE BEACH MUNICIPAL COMPLEX,2000,VTD2000-003-41,Orange Beach Fire House,VTD2000-003-41,Orange Beach Fire House,district_constrained_nonexclusive_approximation,65.14285714285714,20.233766233766225,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,PERDIDO BEACH FIRE HOUSE,PERDIDO BEACH FIRE HOUSE,PERDIDO BEACH FIRE HOUSE,2000,VTD2000-003-29,Perdido Beach Fire House,VTD2000-003-29,Perdido Beach Fire House,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,PERDIDO SCHOOL,PERDIDO SCHOOL,PERDIDO SCHOOL,2000,VTD2000-003-14,Perdido Elementary School,VTD2000-003-7,Daphne Intermediate School,fuzzy_name_district_constraint,85.5,99.99999985587743,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,PINE GROVE SCHOOL,PINE GROVE SCHOOL,PINE GROVE SCHOOL,2000,VTD2000-003-16,Pine Grove School,VTD2000-003-16,Pine Grove School,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,2,True
1994,BALDWIN,PT. CLEAR SCHOOL,PT CLEAR SCHOOL,PT CLEAR SCHOOL,2000,VTD2000-003-7,Daphne Intermediate School,VTD2000-003-7,Daphne Intermediate School,fuzzy_name_district_constraint,85.5,92.1141237029684,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,RABUN FIRE HOUSE,RABUN FIRE HOUSE,RABUN FIRE HOUSE,2000,VTD2000-003-13,Rabun Fire House,VTD2000-003-13,Rabun Fire House,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,ROBERTSDALE CITY HALL,ROBERTSDALE CITY HALL,ROBERTSDALE CITY HALL,2000,VTD2000-003-25,Robertsdale City Hall,VTD2000-003-25,Robertsdale City Hall,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,ROSINTON SCHOOL,ROSINTON SCHOOL,ROSINTON SCHOOL,2000,VTD2000-003-22,Rosinton Elementary School,VTD2000-003-7,Daphne Intermediate School,iterative_adjacent_cycle_consensus,,99.99999999999967,51,49,overflow,1,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,SEMINOLE FIRE HOUSE,SEMINOLE FIRE HOUSE,SEMINOLE FIRE HOUSE,2000,VTD2000-003-27,Seminole Fire House,VTD2000-003-27,Seminole Fire House,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,SILVERHILL CITY HALL,SILVERHILL CITY HALL,SILVERHILL CITY HALL,2000,VTD2000-003-24,Silverhill Town Hall,VTD2000-003-15,Bay Minette City Hall-Civic Center,fuzzy_name_district_constraint,85.5,80.42451927670594,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,2,1,True
1994,BALDWIN,SPANISH FORT FIRE HOUSE,SPANISH FORT FIRE HOUSE,SPANISH FORT FIRE HOUSE,2000,VTD2000-003-6,Bromley Crossroads Vol. Fire SS,VTD2000-003-6,Bromley Crossroads Vol. Fire SS,fuzzy_name_district_constraint,85.5,78.7097986159602,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,SPANISH FORT OLD SCHOOL,SPANISH FORT OLD SCHOOL,SPANISH FORT OLD SCHOOL,2000,VTD2000-003-45,Spanish Fort School,VTD2000-003-45,Spanish Fort School,fuzzy_name,95.0,9.5,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,ST. PAUL EPISCOPAL CHURCH,SAINT PAUL EPISCOPAL CHURCH,SAINT PAUL EPISCOPAL CHURCH,2000,VTD2000-003-47,Daphne St. Paul Episcopal Church,VTD2000-003-47,Daphne St. Paul Episcopal Church,fuzzy_name,95.0,9.5,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,STAPELTON COMMUNITY HALL,STAPELTON COMMUNITY HALL,STAPELTON COMMUNITY HALL,2000,VTD2000-003-18,Stapleton Community Hall,VTD2000-003-18,Stapleton Community Hall,fuzzy_name,95.83333333333334,10.333333333333345,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,3,2,True
1994,BALDWIN,STOCKTON FIRE HOUSE,STOCKTON FIRE HOUSE,STOCKTON FIRE HOUSE,2000,VTD2000-003-12,Stockton Fire House,VTD2000-003-12,Stockton Fire House,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,SUMMERDALE-COMMUNITY HALL,SUMMERDALE COMMUNITY HALL,SUMMERDALE COMMUNITY HALL,2000,VTD2000-003-31,Summerdale Community Hall,VTD2000-003-31,Summerdale Community Hall,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,TENSAW-COMMUNITY CENTER,TENSAW COMMUNITY CENTER,TENSAW COMMUNITY CENTER,2000,VTD2000-003-2,Tensaw Community Center,VTD2000-003-2,Tensaw Community Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,VAUGHN COMMUNITY CENTER,VAUGHN COMMUNITY CENTER,VAUGHN COMMUNITY CENTER,2000,VTD2000-003-3,Vaughn Community Center,VTD2000-003-3,Vaughn Community Center,exact_name,100.0,100.0,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BALDWIN,WHITE HOUSE SCHOOL,WHITE HOUSE SCHOOL,WHITE HOUSE SCHOOL,2000,VTD2000-003-17,White House Forks Vol Fire Dept,VTD2000-003-4,Crossroads Alternative School,named_place_geocode_to_containing_vtd,97.14285714285714,99.99999999999996,51,49,overflow,0,False,4,3,1999-2443|98-2385|99-2443,1,1,False
1994,BARBOUR,ABSENTEE,ABSENTEE,ABSENTEE,2000,,,,,administrative_non_geographic,0.0,0.0,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,BAKERHILL,BAKERHILL,BAKERHILL,2000,VTD2000-005-4,Bakerhill,VTD2000-005-4,Bakerhill,exact_name,100.0,100.0,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,BLUE SPRINGS CITY HALL,BLUE SPRINGS CITY HALL,BLUE SPRINGS CITY HALL,2000,VTD2000-005-10,Blue Springs,VTD2000-005-10,Blue Springs,fuzzy_name,90.0,27.0,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,CHAMPION'S,CHAMPION S,CHAMPION S,2000,VTD2000-005-1,Woodham's Store,VTD2000-005-1,Woodham's Store,district_constrained_nonexclusive_approximation,85.5,38.44117647058824,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,CLAYTON COURTHOUSE,CLAYTON COURTHOUSE,CLAYTON COURTHOUSE,2000,VTD2000-005-7,Clayton,VTD2000-005-7,Clayton,fuzzy_name,90.0,29.999999999999996,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,CLIO CITY HALL,CLIO CITY HALL,CLIO CITY HALL,2000,VTD2000-005-2,Clio,VTD2000-005-2,Clio,fuzzy_name,90.0,40.909090909090914,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,COGGIN'S STORE,COGGIN S STORE,COGGIN S STORE,2000,VTD2000-005-3,Coggin's Store,VTD2000-005-3,Coggin's Store,exact_name,100.0,100.0,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,COWIKEE FIRE DEPT.,COWIKEE FIRE DEPARTMENT,COWIKEE FIRE DEPARTMENT,2000,VTD2000-005-6,Springhill,VTD2000-005-2,Clio,named_place_geocode_to_containing_vtd,95.0,99.99999987668508,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,DAVIS CHEVROLET CO.,DAVIS CHEVROLET COUNTY,DAVIS CHEVROLET COUNTY,2000,,,VTD2000-005-8,Mt. Andrew,unmatched_name,49.87499999999999,4.874999999999993,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,DAVIS MOTORS,DAVIS MOTORS,DAVIS MOTORS,2000,,,VTD2000-005-1,Woodham's Store,unmatched_name,51.85185185185186,5.6980056980057086,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,ELAMVILLE,ELAMVILLE,ELAMVILLE,2000,VTD2000-005-3,Coggin's Store,VTD2000-005-9,Louisville,adjacent_cycle_alias_graph,,99.9998719878394,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,FLOYD TEW'S STORE,FLOYD TEW S STORE,FLOYD TEW S STORE,2000,,,VTD2000-005-3,Coggin's Store,unmatched_name,63.33333333333332,0.8333333333333215,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,GREEN'S CROSSROAD,GREEN S CROSSROAD,GREEN S CROSSROAD,2000,,,VTD2000-005-3,Coggin's Store,unmatched_name,49.03225806451612,0.1751152073732669,23,10,overflow,0,False,1,0,,1,1,False
1994,BARBOUR,HARTZOG'S STORE,HARTZOG S STORE,HARTZOG S STORE,2000,,,VTD2000-005-3,Coggin's Store,unmatched_name,68.96551724137932,2.2988505747126453,23,10,overflow,0,False,1,0,,1,1,False
