historical_war_run_id,war_outcome_id,state_code,cycle,chamber,district,canonical_party,candidate_result_id,source_candidate_name,candidate_name,votes,incumbent,winner,candidate_cycle_war,candidate_raw_gap,candidate_structural_expected_gap,score_identification,display_name_source
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-BD8DA90B4FBA11E11797,AL,2018,lower,10,D,AL-2018-house-10-D-J-B-KING,J.B. King,J.B. King,8565,0,0,-0.6584671419229036,-5.951019711359823,-5.29255256943692,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-BD8DA90B4FBA11E11797,AL,2018,lower,10,R,AL-2018-house-10-R-MIKE-BALL,Mike Ball,Mike Ball,11240,1,1,0.6584671419229036,5.951019711359823,5.29255256943692,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-0E43B54DD6EC3A535EA7,AL,2018,lower,104,D,AL-2018-house-104-D-ARLENE-CUNNINGHAM-EASLEY,Arlene Cunningham Easley,Arlene Cunningham Easley,4695,0,0,-0.5952670978915551,-1.8117855205896944,-1.2165184226981394,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-0E43B54DD6EC3A535EA7,AL,2018,lower,104,R,AL-2018-house-104-R-MARGIE-WILCOX,Margie Wilcox,Margie Wilcox,10152,1,1,0.5952670978915551,1.8117855205896944,1.2165184226981394,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-E3A778403481AD2D7F37,AL,2018,lower,15,D,AL-2018-house-15-D-SUZANNA-COLEMAN,Suzanna Coleman,Suzanna Coleman,6951,0,0,0.3500809454994371,2.601298866097764,2.251217920598327,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-E3A778403481AD2D7F37,AL,2018,lower,15,R,AL-2018-house-15-R-ALLEN-FARLEY,Allen Farley,Allen Farley,14212,1,1,-0.3500809454994371,-2.601298866097764,-2.251217920598327,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-60189DA3A69756B017A3,AL,2018,lower,18,D,AL-2018-house-18-D-EDDIE-BRITTON,Eddie Britton,Eddie Britton,3886,0,0,0.6957431406621719,8.067229304927409,7.371486164265237,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-60189DA3A69756B017A3,AL,2018,lower,18,R,AL-2018-house-18-R-JAMIE-KIEL,Jamie Kiel,Jamie Kiel,9845,0,1,-0.6957431406621719,-8.067229304927409,-7.371486164265237,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-ACD1B6CFAC5B892FA85C,AL,2018,lower,2,D,AL-2018-house-2-D-LORA-KAY-MORROW,Lora Kay Morrow,Laura Kay Morrow,4798,0,0,0.2802932009146062,1.0131030311206857,0.7328098302060795,race_differential_party_orientation,archived_election_page_exact_race_vote_match
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,WAROUT-ACD1B6CFAC5B892FA85C,AL,2018,lower,2,R,AL-2018-house-2-R-LYNN-GREER,Lynn Greer,Lynn Greer,13056,1,1,-0.2802932009146062,-1.0131030311206857,-0.7328098302060795,race_differential_party_orientation,archived_election_page_exact_race_vote_match
