specification,train_cycle,test_cycle,train_races,test_races,mae,rmse,mean_error,winner_accuracy,brier,mae_improvement_vs_polling_federal
polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,2018,2022,59,30,7.08255426434464,11.458853826812527,0.6146368082835333,0.9,0.0573426167012592,2.914605749352062
polling_federal_plus_fundraising,2018,2022,59,30,8.176794364630286,12.747594308662636,1.7465903724089158,0.9,0.0569876960218248,1.8203656490664144
polling_federal_plus_incumbency_fundraising,2018,2022,59,30,8.430118180791245,13.024115203402632,-1.0808021853728826,0.9,0.064454593835191,1.5670418329054547
polling_federal_plus_within_cycle_orthogonal_fundraising,2018,2022,59,30,8.473734750231863,12.631407190644358,4.62675774164155,0.9333333333333332,0.0602543479130822,1.52342526346484
polling_federal_plus_incumbency_viability,2018,2022,59,30,8.474979712952262,12.745961271602996,0.4782439985601082,0.9,0.0751979097668866,1.52218030074444
polling_federal_plus_orthogonal_fundraising,2018,2022,59,30,8.551774687624867,13.121303631366615,2.3920343650738807,0.9,0.0574331366614823,1.4453853260718337
polling_federal_plus_incumbency_partial_orthogonal25,2018,2022,59,30,8.637986081133246,13.162309970963756,-1.2176654656984345,0.9,0.0655047405900847,1.359173932563455
polling_federal_plus_incumbency_partial_orthogonal50,2018,2022,59,30,8.837865573538979,13.32880843980558,-1.3459409150653596,0.9,0.0668198585265384,1.1592944401577228
polling_federal_plus_incumbency_partial_orthogonal75,2018,2022,59,30,9.036064781732923,13.50956229572508,-1.4594079730373657,0.9,0.0681543852171683,0.9610952319637794
polling_federal_plus_incumbency_orthogonal_fundraising,2018,2022,59,30,9.25502035635887,13.687015618691548,-1.5520148822653406,0.9333333333333332,0.069356985491532,0.7421396573378315
polling_federal_plus_incumbency,2018,2022,59,30,9.53803660229322,14.132814083019666,0.5134787693951378,0.9,0.084703649829242,0.4591234114034801
polling_federal_only,2018,2022,59,30,9.997160013696703,14.565085937425216,1.8548779090048064,0.9,0.0843223994355551,0.0
polling_federal_plus_generic_lag,2018,2022,59,30,10.303843049874612,15.326353957246903,4.651633273033719,0.9,0.0868717645437842,-0.3066830361779104
